downsample	seed	iteration	class	precision	recall	f1_score	selection strategy
# ---- 1% Training Data: Base Model (seed 42) ----
0.01	13	1	Work_For	0.5294	0.1184	0.1935	entropy
0.01	13	1	macro avg	0.4378	0.1806	0.2085	entropy
0.01	13	1	micro avg	0.3717	0.1991	0.2593	entropy
# ---- 5% Training Data: Base Model (seed 8) ----
0.05	8	0	Kill	0.8519	0.4894	0.6216	NULL
0.05	8	0	Live_In	0.5227	0.69	0.5948	NULL
0.05	8	0	Located_In	0.6471	0.4681	0.5432	NULL
0.05	8	0	OrgBased_In	0.8684	0.3143	0.4615	NULL
0.05	8	0	Work_For	0.5385	0.8289	0.6528	NULL
0.05	8	0	macro avg	0.6857	0.5581	0.5748	NULL
0.05	8	0	micro avg	0.6073	0.5498	0.5771	NULL
# ---- 5% Training Data: Self-Training Model (prediction confidence)  ----
# Seed: 8
0.05	8	1	Kill	0.5658	0.9149	0.6992	prediction confidence
0.05	8	1	Live_In	0.4343	0.76	0.5527	prediction confidence
0.05	8	1	Located_In	0.6049	0.5213	0.56	prediction confidence
0.05	8	1	OrgBased_In	0.8205	0.3048	0.4444	prediction confidence
0.05	8	1	Work_For	0.5238	0.8684	0.6535	prediction confidence
0.05	8	1	macro avg	0.5899	0.6739	0.582	prediction confidence
0.05	8	1	micro avg	0.5352	0.6303	0.5789	prediction confidence
# Seed: 2
0.05	2	1	Kill	0.6066	0.7872	0.6852	prediction confidence
0.05	2	1	Live_In	0.3556	0.8500	0.5015	prediction confidence
0.05	2	1	Located_In	0.5094	0.5745	0.5400	prediction confidence
0.05	2	1	OrgBased_In	0.8485	0.2667	0.4058	prediction confidence
0.05	2	1	Work_For	0.5537	0.8816	0.6802	prediction confidence
0.05	2	1	macro avg	0.5748	0.6720	0.5625	prediction confidence
0.05	2	1	micro avg	0.4839	0.6422	0.5519	prediction confidence
# Seed: 7
# 	Iteration: 1
0.05	7	1	Kill	0.5068	0.7872	0.6167	prediction confidence
0.05	7	1	Live_In	0.4389	0.79	0.5643	prediction confidence
0.05	7	1	Located_In	0.5667	0.5426	0.5543	prediction confidence
0.05	7	1	OrgBased_In	0.8421	0.3048	0.4476	prediction confidence
0.05	7	1	Work_For	0.5965	0.8947	0.7158	prediction confidence
0.05	7	1	macro avg	0.5902	0.6639	0.5797	prediction confidence
0.05	7	1	micro avg	0.5394	0.6327	0.5823	prediction confidence
#	Iteration: 2
0.05	7	2	Kill	0.5077	0.7021	0.5893	prediction confidence
0.05	7	2	Live_In	0.4691	0.76	0.5802	prediction confidence
0.05	7	2	Located_In	0.5243	0.5745	0.5482	prediction confidence
0.05	7	2	OrgBased_In	0.8611	0.2952	0.4397	prediction confidence
0.05	7	2	Work_For	0.5037	0.8947	0.6445	prediction confidence
0.05	7	2	macro avg	0.5732	0.6453	0.5604	prediction confidence
0.05	7	2	micro avg	0.523	0.6209	0.5677	prediction confidence
# 	Iteration: 3
0.05	7	3	Kill	0.5625	0.9574	0.7087	prediction confidence
0.05	7	3	Live_In	0.407	0.81	0.5418	prediction confidence
0.05	7	3	Located_In	0.4013	0.6489	0.4959	prediction confidence
0.05	7	3	OrgBased_In	0.8611	0.2952	0.4397	prediction confidence
0.05	7	3	Work_For	0.5484	0.8947	0.68	prediction confidence
0.05	7	3	macro avg	0.5561	0.7213	0.5732	prediction confidence
